fq	label
开放式和封闭式理财产品的差别	121
使用个人手机银行转其它银行账号错误但钱已经下账了怎么办	24
我想袋款	228
个人网上银行移动支付限额如何修改	455
信用卡申请要提供那些资料	230
我想办理企业网上银行有哪些事项需要关注吗	44
怎么在手机银行办贷款呀	228
体检积分怎么用	413
积分兑换条件具体怎么规定的	406
转账需要输入云证书PIN码是什么	241
请问有什么理财产品	218
按日贷怎么还不进款	122
信用卡安全锁关闭的操作流程	270
如何办理储蓄卡销户	81
我想办理信用卡提临时额度往哪里进	289
微信转账提示已到账至银行卡但银行卡却没收到	450
贷记卡的积分多长时间会退回	490
信用卡是哪家网点办的	5
用短信银行办理业务要多少钱	409
签约网关支付对账户有什么要求	125
农村信用社贷款分为哪几种	228
二类账户有限额吗	213
云证书PIN码介绍	241
借记卡卡号几位数	28
活期存折与定期存折可以办理定活互转吗	379
手机账户解约了有办法恢复吗	251
电话银行怎么修改查询密码	157
白金贷记卡简介	386
借记卡书面挂失了可以绑定微信吗	488
手机银行怎么转账	481
银行卡被盗	60
对公账户转账的具体要求有哪些	334
我要消费后用储蓄卡短信通知要怎么搞	108
我想贷30000块钱款如何申请	228
你好在农信ATM机行内转账多久到账呀	159
银行卡绑定微信手机号码收不到验证码	124
取完钱我忘了拿卡怎么办	73
你们呢人工服务	88
为什么他们给我打钱要24小时才到账	159
手机银行已经开通了但手机丢失了怎么办	147
掌柜钱包资金转入有时间限制吗	207
个人网银落地金额是多少	2
为什么我申请按日贷会失败	10
怎么进行信用卡还款操作	109
ApplePay可以在哪些机型上使用	132
可以在微信里代款吗	228
贷记卡如何办理换卡	212
如何重置个人手机银行登录密码	171
可以申办信用卡吗	230
通过柜面可以缴话费吗	117
如何在微信绑定借记卡	482
你好棒哦	172
注销企业网上银行要怎么办理	150
我的借记卡取款密码怎么解锁	6
个人网银怎样缴水费	54
储蓄卡可以缴纳交通罚款吗	222
信用卡申请成功多久才有	19
为什么有额度但无法贷款	228
个人网上银行登录密码和交易密码输错几次会被锁定	45
用电话银行办理业务要多少钱	355
手机银行在哪里下载	221
现金分期能有多少额度	202
贷记卡是信用卡吗	161
哪里有CVV2码	493
金碧惠农卡可以办理按日贷吗	183
请问金碧借记卡在泰国取现手续费怎么算	33
转账限额如何到移动客户端申请云证书	79
网点能查信用卡开户行吗	5
信用卡有效期是什么	130
我不是军人能办金碧军人优抚卡吗	263
我想问下我的这张借记卡还可不可以用	62
手机绑定过手机银行丢了有风险吗	9
手机银行缴纳社保提示未查询到您的参保信息	272
信用卡有效期是多久	130
我要资讯一下怎么借代款	228
我的贷款怎么不可以在手机上还	461
我的社保卡没有绑定手机号	124
贷记卡的按日贷交易受不受安全锁的控制	271
办理预约转账的方法	67
Ⅲ类虚拟账户如何升级为Ⅱ类虚拟账户	287
二类卡升级一类卡的方法	339
我还了按日贷了怎么查记录	128
卡号换了要怎么改才能接着用云南农信公众号查余额	430
打96500怎么提示是空号	217
帮我修改贷记卡账单寄送邮箱地址	422
能申请一张信用卡吗	230
怎么查贷记卡卡号	209
整存整取提前支取	43
别人从他行网上银行证书版转我行账号转完发现账号不对怎么办	237
储蓄卡短信提醒服务状态查询	427
个人网银怎么还信用卡	109
个人网银销户后是否需要交回安全设备	242
手机银行重置移动支付密码流程	113
手机银行密码忘了怎么办	171
云闪付APP简介	188
我要在手机银行还贷款	461
哪些运营商可以在惠农POS代缴话费	367
个贷提交后怎么弄	228
为什么申请个人网银大众版提示客户信息有误请至柜台核对客户信息再注册同一户名下才能关联	141
怎么开通贷记卡免密功能	473
如何申请企业网上银行	224
我提交的贷款是否可以随时贷款	228
网点办理理财签约时需要提供什么信息	173
什么时间可以购买外汇	165
帮我查询贷记卡免密功能状态	401
挂失公务信用卡	15
自助设备行内转账撤销申请退款时间	49
怎么打电话查询贷记卡逾期情况	341
我可以随时赎回开放式理财产品吗	20
理财的解约有什么条件限制吗	143
怎么查询按日贷	128
手机话费用储蓄卡怎么交	117
自助设备跨行转账到账时间	159
申办信用卡	230
贷记卡永久额度要如何调整呢	288
我如何通过手机银行跨行转账	481
我要更换银行预留手机号码	124
社保卡怎么绑定微信	482
怎么申请军人卡	265
短信银行转账限额	8
按日贷的利息怎么还	122
我信用卡上留的身份证号码不对怎改	345
贷款可以在手机银行还本金吗	461
POS机微信动户提醒怎么开通关闭	302
放款密码忘了	111
信用卡为什么提不了临时额度	289
我想问一下我在按日贷上款怎么还	122
我的邮政卡在农信社的取款机上取款被吞了	126
如何进行个人手机银行移动支付	36
个人贷款需要什么条件	228
请问手机银行跨行转帐实时到帐需手续费吗	76
注销借记卡账号只能在开户的那个银行才可以吗	81
查询贷款密码	111
贷记卡可以在取款机上取现金吗	32
我要办理借记卡	210
怎么办理贷记卡挂失	15
怎样下载移动云证书	79
办理现金分期步骤	107
打96500怎么一直打不通	217
提示客户信息有误请至柜台核对客户信息再注册同一户名下才能关联怎么处理	141
商业贷款申请	228
按日贷到期日未足额存入自扣还款帐户	486
交易密码锁定后怎么办	45
借记卡境外取款手续费	33
贷记卡在境外消费的金额怎么计算	391
微信支付宝绑定银行卡收不到验证码怎么回事	124
怎么自助还贷款	461
微信银行可以充加油卡吗	82
我可以办一张军人优抚卡吗	265
怎么办惠农货款	228
个人网上银行可以签约新账号吗	197
想要通过手机银行跨行转账怎么操作	481
办理信用卡多少天能拿卡	19
短信银行转账可以绑定多少张银行卡	8
房贷如何办理	228
请问信用卡办了多久能到	19
要什么条件才可以贷款	228
贷记卡销户	194
外汇跨境人民币汇款的方法有什么	35
借记卡电子现金要怎么样转出来	7
现金分期未按时还款会计收利息吗	21
你好我想问一下云南农信APP要怎么登录	498
办理了现金分期后要把卡片销户如何还现金分期	499
如何开通自助设备转账功能	208
什么是II类卡	213
个人信用报告收费吗	86
我的微信银行密码忘记了怎么办	344
你好网上是否可以办理金碧贷记卡	230
哪些系统版本支持ApplePay	132
信用卡一张普卡后面申请金卡有额度吗	95
打96500怎么办理账单分期提前还款	354
关闭外汇短信通知	177
用你们自助设备转账为啥不到账呢	159
贷款最快几小时放款	228
怎么在手机上打借记卡交易流水	61
如何安装企业网上银行e安USB-Key	471
为什么我卡的钱不在了	60
我的信用卡也审核了就是问一下还要多长时间到	19
每次存一点最后一次性取出来	303
ATM机跨行转账多久	159
银行卡消磁怎么办	494
贷记卡丢了可以在手机上挂失吗	15
我更换了手机号码无法绑定第三方平台如何处理	124
我的卡消费一百以内不会短信提醒	135
我要申请云证书	79
网银销户后E安要交回吗	242
我办理不了理财解约的原因	143
事业单位惠民贷可贷多少	228
在使用个人网上银行证书版时提示业务开始状态不能发起交易是什么原因造成的	84
我的贷记卡状态是正常的为什么申请不了按日贷	10
惠农POS终端可以代缴话费吗	367
ApplePay实体卡和设备卡有什么关联	1
怎样开启移动支付的小额免密支付功能	149
怎么申请校园贷记卡	276
贷记卡如何申请灵活分期提前还款	168
预授权概念	153
平时存钱的卡丢了	57
储蓄卡手机短信提醒怎么开通	108
社保卡怎么办理	170
贷记卡怎么销户	194
我今天下午还的贷款怎么不可以贷了	461
你好我转账忘记截屏了	432
我要如何设置个人手机银行账户别名	491
信用卡提示不能降级消费怎么处理	447
设备别名是什么	476
个人手机银行证书版单笔及日累计落地限额	445
捡到卡怎样处理	180
理财产品兑钱	13
请问贷款是怎样的还款方式	461
我想问下贷款的问题	228
信用卡积分退回的时限是多久	490
我的储蓄卡短信业务是关闭还是开通了	427
我可以把我的积分送人吗	136
为什么手机银行无法还贷款	461
储蓄卡新卡的开户行和老卡的一样吗	346
查询借记卡定期存款余额的渠道	389
怎样登录手机银行	498
办理贷款需要什么资料	228
信用卡异常什么意思	442
我想借一点贷款需要怎么借	228
怎样缴纳交通罚款	222
信用卡不要了要怎么关	194
如何将信用卡解绑	166
安全使用个人网上银行证书版的方法有哪些	114
我要查信用卡账号	209
使用微信银行微银行可以办理什么业务	30
怎么办信用卡	230
智商很高啊	474
你好可以申请信用卡吗	230
客服电话打不通	217
怎么开通云南农信微信支付	482
金碧贷计卡是什么	161
我的信用卡额度提升材料已经交上去1个多月未见消息	19
结婚证贷款多久可以办下来	228
普洱工会卡的介绍	366
我用支付宝转账告诉我转账失败了	451
个人网银修改落地限额	148
自助设备行内转账流程	468
银行卡资金被盗	60
储蓄卡的短信提醒上下限可以改吗	48
有什么渠道可以办理储蓄卡缴纳交通罚款	222
安日贷在哪里还款	122
签约ATM转账协议可以转多少钱	219
你们行可以办信用卡么	230
昨天在atm机转的钱要几个小时才能到账	159
申请货款需要什么条件	228
信用卡灵活分期可以提前还吗	168
微信充值没有到帐但银行卡已扣费	451
自助设备转账申请撤销之后多久退款	49
怎么理解理财产品封闭期	259
企业网银代发工资付款账号下拉框里不会显示账号是怎么回事	331
商户微信交易提醒关闭	302
怎么会发贷款信息给我	39
怎样审请信用卡	230
申请了按日贷怎么没有还款入口	122
定转活可以在手机上面操作吗好会扣费吗	102
这么懂礼貌的啊	172
住房公积金是否可以用来贷款	228
在医院用贷记卡消费的钱算积分吗	407
金碧白金贷记卡社内专属服务包含的项目	319
Ⅲ类账户是要在哪里才能开	282
我不想用我的信用卡了	194
借记卡在云南农信自助设备上的存取额度	462
你们银行贷款需要什么条件	228
外币定期可以存多久	66
残损人民币如何兑换	301
嗯你好我想问一下在那个自动取款机上在卡里面那个行内转账转到别的卡上要什么时候才能到	159
我社发送信息的号码分类	444
为什么我的信用卡还上了额度却没有了呢	40
掌柜钱包无法转入	477
怎么办理信用卡现金圈存	215
请问为什么我的银行卡不可以申请贷款	228
电子商业汇票系统非工作日运行吗	360
白金借记卡有些什么优惠政策	315
未签约自助设备转账协议可以在自助设备上转账吗	219
关闭借记卡交易余额短信	151
个人网银销户后UK还能使用吗	242
贷款额度如何提高	228
信用卡销户后没还的现金分期怎么还	499
惠民卡贷款还款在手机里操作不了	187
信用卡还没激活手机号码换了还可以激活吗	459
手机银行怎么查询按日贷	128
转账时对方的卡号输错了	433
误操作解约了手机银行怎么办	251
请问怎么取消在微信上的月限额	51
储蓄卡有没有开通短信	427
在境外预借现金手续费怎么收	32
企业网银重复批量转账能否撤回	330
贷记卡因逾期停用如何处理	437
如何查询贷款合同编号	419
如何下载个人手机银行客户端	221
可以通过哪些方法来缴纳交通罚款呢	222
怎么取消储蓄卡短信服务	151
怎么申请贷纪卡	230
信用卡款还了怎么不恢复额度	40
为什么我无法在晚上赎回开放式理财产品	20
个人网银转账金额达到多少需要开户行审核	2
怎么退订借记卡短信提醒	151
你太棒了	172
通过个人手机银行如何进行本行转账	481
我想在农村信用社贷点款要怎么办理	228
怎么重置个人手机银行移动支付密码	113
由于输入名字的时候有一个错别字	433
如何申请代贷	228
理财签约有什么限制	123
在线借款怎么借	228
怎么办理军人优抚卡	265
没有信用卡怎么申请货款	228
我的手机可以下载个人手机银行吗	497
惠民卡逾期90天不能放款是怎么回事	249
个人网银转账落地限额是多少	2
你们的客服热线怎么一直打不通	217
手机银行账户怎么解除	250
贷记卡短信费怎么取消	200
我放款密码忘了怎么修改	111
没有设置自动续卡怎么续卡	77
我的银行卡充值到支付宝还没有到账	450
按日贷已申请钱未到账	417
我想查看一下我的借记卡短信通知有没有关闭成功	427
查询贷款合同编号	419
个人网银怎么缴话费	117
怎么通过微信银行领取个人手机银行资金安全险	46
如何登录个人手机银行网站	221
还款直接转进信用卡可以吗	109
怎么交水费	54
怎么操作可以使用ApplePay功能	240
存款机存款手续费如何收取	181
请告诉我信用社手机银行网址是多少	221
个人外汇电子账户绑定的人民币银行结算账户有什么条件	92
是不是一般人没法申请信用卡怎么申请	230
想贷款不知道能否申请	228
怎么重置企业网上银行登录密码	17
我问一下我手机银行转账是跨行转账怎么还要输入PIN码才转得出去吗	227
如果密码在取款机上输错了	6
手机收不到信息提示怎么办	135
惠农贷记卡有免息服务吗	91
关闭贷记卡短信提醒	200
我想了解一下电子银行承兑汇票质押	384
个人手机银行转帐的操作流程	481
信用卡的账单分期可以提前还款吗	354
转账支票进账到任意网点吗	398
外汇可以存定期吗	3
信用卡现金分期最高多少	202
你们的贷记卡是什么意思	161
昨天我微信提现怎么没有呢	450
怎样使用个人网上银行才安全呢	114
贷记卡额度查询	4
查询信用卡余额	4
我在自助设备上取款提示不受理卡片	465
二维码收款多久到账	267
请问还贷款的程序是什么	461
贷款利息如何尝还	461
卡内资金少了	60
请问一下云南农信可以办信用卡吗	230
这张社保卡不要了	453
卡里无缘无故少了二十块钱怎么回事	60
对公账户柜面转账有些什么要求	334
怎么办贷记卡呢	230
银行卡储蓄卡不要用了如何取消	81
借记卡挂失不记得卡号	460
我们注册的这个卡可以贷款不	228
如何查看按日贷	128
我要了解一下信用卡宽限期	34
他行卡在我行自助设备被吞卡怎么处理	126
交学费	485
信用卡预借现金的手续费和利息计收规则	32
车贷可以提前还款吗	461
我要开通ApplePay怎么操作	240
背书转让提示失败	377
怎么设置定期转活期	102
手机银行转账造成交易已受理请等待银行审核的原因有哪些	416
外汇牌价简介	52
本行卡在本行自助取款机给我转账到账时间	159
电子社保卡是什么卡	435
个人无抵押贷款可以带多少	228
你们银行的卡可以在微信上付款吗	482
柜面办理理财签约时需要提供什么资料	173
掌柜钱包是否存在风险	189
通过微信银行怎样缴水费	54
按日贷借款额度减少钱没到账	417
贴现利率	378
如何开通社保卡短信提示	108
移动代理商如何缴费	273
云证书PIN密码是什么	241
电子银行承兑汇票质押业务规则	385
怎么样才能使用微信贷款	228
我的信用卡挂失后怎么还钱	428
卡上的钱不见了	60
打电话给银行可以转账吗没验证码	441
外汇可以办理死期吗	3
申请货款要怎么办理	228
个人网银证书版与大众版是如何不同的	154
什么条件满足贷款	228
电子银行承兑汇票保证有什么特点	382
现金分期超过还款日还款会怎么样	21
金融社保卡丢了补卡需要收费	387
还贷款用哪个APP	461
怎样通过自助设备缴水费	54
怎么办理短信银行转账	8
我想开通另外一张银行卡微信短信提醒	439
如果账号和持卡人姓名不符也就是账号出错的话转出的钱会不会退回	433
下载个人手机银行对手机有要求条件吗	497
申请一张信用卡	230
使用第三方平台微信支付宝等提示交易失败支付未到账重复支付	451
军人优抚卡的优惠特点	264
PIN码用途	241
惠农终端转钱的限额是多少	425
哇噻好有礼貌啊	172
个人网银销户后UK要交回吗	242
存折可以进行理财签约吗	103
卡丢失了怎么办贷记卡	15
我绑定支付宝的时候提示我预留手机号码不符如何处理	124
手机贷款已经申请什么时候能到账	228
个人网上银行可以解约账号吗	197
贷款利息能在手机上还吗	461
银行卡密码输入错误多了后该怎么办	6
按日货如何还款	122
怎样赔信用卡钱	109
无息贷怎么办	228
ATM转账怎么撤销	162
我不是开通手机信息提示怎么没有信息发给我	135
手机银行转账的时候叫输PIN码是什么	241
信用卡要到期了怎么修改账单地址	232
云南农信信用卡微信公众号如何绑定贷记卡	216
电子商业汇票系统运行时间	360
你咋这么棒呢	172
我的卡是工商银行的被你们的ATM机吞了怎么办	126
POS机跨行转账可以撤销吗	371
按日贷需要一年还一次本金吗	122
怎么还贷款	461
储蓄卡怎么缴交通罚款	222
有没有谈恋爱	42
信用卡申请一般需要多久	19
存折可不可以进行签约个人网上银行证书版网关支付	125
贷记卡交易密码修改	206
信用卡必须到银行办理吗	230
企业网上银行操作员登录密码忘记了怎么办	17
交通罚款通过微信平台怎么缴纳	222
借记卡挂失补卡开户行会改变吗	346
手机银行三惠卡还款操作步骤	187
移动代理商缴费步骤	273
死期如何改活期	102
体验积分可以用来干嘛	413
惠民卡即将到期续签合同提供哪些材料	228
追加购买理财有时间限制吗	131
我贷记卡账号是	209
活期转定期	236
我没用到怎么就扣了40	60
云南农信存折支持理财签约吗	103
怎么注销信用卡	194
为什么消费出去的钱没有短信通知	135
修改贷记卡绑定的还款卡	85
大额存单的起点金额是多少	116
你好帮我查一下今天早上6点47分的50元钱是花到什么地方了我没有任何操作直接就交易走了	60
电话银行活期转定期流程	236
我想申请一张信用卡	230
怎么开通信用卡小额免密	473
我的银行贷款咋不能有一年的合同	228
如何办理借记卡注销	81
按日贷成功后没有到账	417
如何在云南农信公众号上绑借记卡	430
交通罚款怎么缴纳	222
你好请问一下还可不可以办农村信用卡了	230
个人网上银行证书版是怎样收费的	256
忘记个人手机银行的登录密码怎么办	171
请问贷款需满足哪些条件	228
如何办理三惠卡还款	187
公喜贷可以办理几万	349
我想了解对公临时机构临时户的开户	365
背书转让为什么提示失败	377
对公账户的短信通知在哪里可以开通	309
个人手机银行跨行转账如何办理	481
个人网上银行证书版登录密码与交易密码分别是什么	72
外汇汇款收取手续费吗	496
自己注册开通的手机银行转账的额度怎么改	328
我想要跨行转账打96500可以转账吗	441
对公业务在企业网银能够办理的业务	333
电子银行承兑汇票最高金额是多少	374
自制设备每日取款有没有限制	462
想办张信用卡	230
电话银行可以提供转账业务吗	441
为什么24小时了自助设备转账还没有到账	159
怎么办理你们的信用卡	230
银行卡成不动户了还能使用吗	246
借记卡名字是对的卡号没输对但钱已经转出去了	433
个人手机银行日累计交易限额是多少	104
个人手机银行本行同城手续费怎么收取	76
我的贷记卡折了可以换卡吗	212
为什么通过个人手机银行跨行转账会提示他行拒绝	26
在第三方服务平台提现未到账	450
如何在微信银行绑定信用卡	119
我想咨询下掌柜钱包一般退款是实时到账吗	478
普通银行卡销户	81
二类卡升级为一类卡办理渠道	339
自助转的钱到现在都还没到我这	159
怎么在电话银行申请账单分期提前还款	354
微信公众号没有交易金额提醒吗	439
微信支付每月限额是多少	51
办理信用社的POS机需要准备什么材料	368
这个信用卡怎么办要到那里去办	230
贷记卡小额免密功能状态查询渠道	401
为什么手机银行登陆不了	498
我想了解一下Ⅲ类账户	281
自助设备取款为什么显示余额不足	175
银行卡在银行里没留号码微信绑定不了现在可以留一个号码吗	124
大额存单可以存几年	116
信用卡的账户别名是什么	161
个人网上银行证书版的转账限额已经修改成功了还是提示转账金额超限怎么解决呢	201
二类账户怎么办理	231
可以办理车子违章吗	222
按日货款查询	128
为什么银行卡会被冻结	62
什么是云闪付APP	188
云南农信手机APP下载	221
网银销户后安全设备要交回吗	242
我的信用卡逾期的原因	98
证件有效期到期	199
我的按日贷可以申请多少钱	211
个人手机银行登录密码遗忘	171
怎样修改个人网银转账短信验证码号码	147
我的按日贷已经还在信用卡上了	420
个人手机银行网址是多少	221
如何查询按日贷	128
收到短信提示他代本银联交易	357
贷款需要带哪些东西	228
怎么在微信中绑定手机银行	68
存取款机显示余额不足怎么办	175
贷款可以先转利息吗	461
借记卡缴交通罚款要怎样缴	222
如何取消贷记卡短信通知	200
自助机器显示余额不足的原因	175
我查一今早转出资金是怎么回事因为我本人沒有操作资金转到那里	60
怎样通过借记卡缴水费	54
你每天工作多长时间	145
介绍一下公喜贷这个产品	347
活期怎么转死期	236
办理借记卡的身份证到期补办有必要到柜面更新信息吗	199
Ⅱ类账户的交易限额是多少	213
打96500怎么一直无人接听电话	217
交易的码解锁	6
